CID,a
3610,5.419354838709677e-14
3776,2.929032258064516e-07
4101,3.935483870967742e-12
4115,2.7096774193548387e-13
4130,2.258064516129032e-14
4139,4.516129032258064e-15
4650,6.451612903225807e-10
4678,9.677419354838709e-17
4684,5.612903225806451e-10
4685,1.1225806451612902e-08
4790,4.116129032258065e-12
4931,4.774193548387097e-12
4933,5.858064516129032e-15
4937,8.451612903225806e-16
4947,1.6774193548387098e-15
5054,3.154838709677419e-12
5125,3.4193548387096775e-14
5143,6.645161290322581e-16
5251,1.9870967741935486e-12
5344,3.2774193548387093e-16
5392,5.096774193548388e-16
5455,1.1096774193548388e-13
5541,1.6e-11
5569,2.9548387096774194e-13
5780,6.387096774193548e-17
5943,7.419354838709678e-07
5960,1.6774193548387098e-15
5976,1.0774193548387097e-06
5993,6.290322580645162e-14
6028,2.7290322580645162e-11
6042,1.161290322580645e-18
6049,1.2903225806451613e-20
6050,8.387096774193547e-12
6061,3.225806451612903e-07
6099,4.516129032258064e-15
6115,4.303225806451613e-09
6129,8.774193548387096e-15
6184,7.290322580645162e-08
6202,1.161290322580645e-18
6212,1.270967741935484e-06
6221,1.5483870967741935e-17
6228,2.4967741935483872e-08
6276,1.4193548387096776e-08
6278,8e-07
6281,0.0
6294,8.709677419354839e-15
6323,1.0451612903225807e-05
6324,0.00020296129032258066
6325,0.0003361290322580645
6326,0.00023548387096774195
6327,2.7741935483870968e-05
6328,2.6129032258064518e-06
6329,1.7096774193548388e-05
6332,3.0129032258064517e-06
6338,1.9225806451612903e-05
6339,0.00012774193548387096
6341,6.7612903225806455e-06
6342,5.729032258064516e-07
6343,3.4129032258064517e-06
6344,2.806451612903226e-06
6348,2.3161290322580647e-06
6351,3.4903225806451616e-05
6354,8.451612903225806e-06
6358,1.393548387096774e-06
6360,1.6838709677419356e-05
6363,3.7393548387096777e-06
6364,1.7890322580645162e-06
6365,1.464516129032258e-06
6367,1.8516129032258064e-06
6370,8.774193548387096e-06
6371,9.161290322580645e-06
6372,4.67741935483871e-05
6375,2.3096774193548385e-07
6377,9.032258064516129e-07
