CID,a
12403,0.03406734337480899
12405,0.17050043658589825
12406,0.16504311285745468
12407,0.13639216328312595
12408,0.17050043658589825
12409,0.13639216328312595
12410,0.376500764025322
12411,0.4951975551189697
12463,0.006644291639380048
12464,0.0006958087753765553
12469,0.0025649421523684783
12471,0.0063441388343156505
12486,0.03050643964199956
12487,0.001296114385505348
12534,0.19780069853743723
12535,0.23868969657280067
12566,0.0518036454922506
12592,0.15549279633267846
12668,0.07492905479153024
12902,0.08805391835843701
12971,2.728661864221786e-05
12992,0.004174852652259332
13025,0.004052062868369352
13068,0.002278432656625191
13089,0.06993560358000436
13190,0.0016371971185330713
13211,0.002687731936258459
13257,0.031338681510587205
13381,0.006057629338572363
13402,0.002687731936258459
13403,0.005416393800480245
13411,0.01794095175725824
13428,0.00023193625845885178
13438,0.0017599869024230517
13529,2.728661864221786e-05
13627,0.002687731936258459
13629,0.006780724732591136
13636,0.0010368915084042786
13694,0.08604835188823401
13709,5.457323728443572e-05
13745,9.55031652477625e-05
14062,0.00814505566470203
14091,0.004052062868369352
14257,0.009509386596812922
14410,0.019673652041039075
14716,0.000927745033835407
14855,0.00016371971185330712
15089,0.683748089936695
15413,0.00013643309321108928
15415,8.185985592665356e-05
15421,0.025881357782143635
15431,0.020424034053700066
15504,0.002687731936258459
15508,0.011051080550098234
15600,0.012238048461034708
15625,0.08217365204103906
15653,0.004052062868369352
15712,0.017135996507312814
15767,0.6381112202575857
15769,0.3197855271774721
15788,0.00762660991049989
15910,0.0024967256057629337
15979,0.057260969220694166
16238,0.013602379393145602
16318,0.9883349705304519
16319,0.005511896965728007
16421,0.0013916175507531106
16422,0.012688277668631304
16582,0.002278432656625191
16587,0.004052062868369352
16607,0.002223859419340755
16653,6.821654660554464e-05
16668,0.003301680855708361
16692,0.056838026631739785
16720,0.00036836935166994106
16738,0.0013506876227897839
16801,0.03952466710325256
16932,0.0017190569744597248
16945,0.08604835188823401
17095,0.007285527177472167
17160,0.000927745033835407
17168,0.0013506876227897839
17241,0.0002455795677799607
17253,0.0001500764025321982
17321,0.031338681510587205
17347,0.0011733246016153677
17435,0.00020464963981663392
17517,4.092992796332678e-05
17522,0.002278432656625191
17578,0.019673652041039075
18555,0.0046932984064614715
18636,0.019673652041039075
18692,1.364330932110893e-05
19041,0.024517026850032743
19352,0.002619515389652914
19577,0.0005320890635232482
19578,0.0012278978388998035
19588,0.00036836935166994106
19657,5.457323728443572e-05
19773,0.031215891726697226
20087,0.009836826020519537
20283,0.006794368041912246
20414,0.08805391835843701
21029,0.001296114385505348
21201,0.00025922287710106965
21685,0.0007776686313032088
21732,0.23164974896310847
21832,0.0019782798515607944
23128,0.13957105435494432
23415,0.001678127046496398
23448,0.10345721458196899
25717,0.0006685221567343375
25911,0.002742305173542895
26058,0.007121807465618859
26176,2.728661864221786e-05
26177,0.00036836935166994106
26343,0.002114712944771884
26519,0.5224978170705087
27156,1.364330932110893e-05
27514,0.09434348395546824
27756,0.0003410827330277232
27959,0.19267081423270027
27960,0.11085188823401003
28292,8.185985592665356e-05
28453,0.014243614931237722
28697,0.0008458851779087535
28935,0.009836826020519537
29228,0.0069580877537655525
29307,0.015266863130320892
29575,0.027177472167648983
29732,0.00799497926216983
29910,0.021583715345994323
30692,9.55031652477625e-05
30709,0.02478989303645492
30875,0.01769537218947828
31200,0.0014189041693953284
31259,0.006794368041912246
31285,0.004475005457323728
31357,0.000191006330495525
31373,0.00013643309321108928
31404,0.002810521720148439
31423,0.3232645710543549
31876,0.002810521720148439
32872,0.00038201266099105
33294,4.092992796332678e-05
34140,0.2599323291857673
34192,0.006194062431783453
34466,0.14955795677799608
34586,0.002878738266753984
34859,0.11319853743724077
35454,0.014243614931237722
35823,0.21126664483737173
35876,0.08604835188823401
36159,0.12156188605108054
36185,0.16025431128574547
36186,0.6093784108273302
36187,0.03050643964199956
36188,0.15661154769700936
36218,0.48403732809430255
36613,0.002278432656625191
36980,0.32723477406679763
36981,0.017531652477624973
37034,0.48403732809430255
37035,0.5307520192097795
37250,0.2984473913992578
37270,0.02208851779087535
37419,0.0008185985592665357
37803,0.10109692206941714
37807,0.39343211089281815
38013,0.7326457105435494
38014,0.27851451648111764
38015,0.5819553590919013
38017,0.23705249945426762
38018,0.5955168085570836
38019,0.7326457105435494
38024,0.2984473913992578
38025,0.4026004147566034
38029,0.43140144073346437
38031,0.3757230953940188
38035,0.1971594629993451
38040,0.13639216328312595
38199,0.010791857672997162
38200,0.022606963545077494
38251,0.025362912027941498
38253,0.003629120279414975
38306,0.2850087317179655
38410,0.39343211089281815
38439,0.04949792621698319
38764,0.009618533071381793
38875,0.29165302335734555
38879,0.4026004147566034
38881,0.48403732809430255
39929,0.004911591355599214
40172,0.3426653569089718
40463,0.0031516044531761625
40475,0.3844820999781707
40476,0.5307520192097795
40477,0.43140144073346437
40478,0.45172997162191664
40479,0.36716874044968345
40481,0.44144291639380046
40482,0.4026004147566034
40484,0.5819553590919013
40485,0.47302717747216766
40500,0.41198701156952633
40517,0.2850087317179655
40585,0.004379502292075966
41017,0.0342310630866623
41556,0.13957105435494432
42115,0.0017190569744597248
42128,0.031215891726697226
42140,0.013602379393145602
42540,0.02208851779087535
43226,0.005034381139489195
43234,0.006794368041912246
43495,0.01794095175725824
43604,0.11607727570399476
47898,0.0003001528050643964
50099,0.5557602051953722
50896,6.821654660554464e-05
51043,0.0667839991268282
51439,0.13025267408862692
53035,0.36716874044968345
